indoor_air_quality,indoor_humidity,indoor_temp,ip_address,outdoor_humidity,outdoor_temp,outdoor_weather,datetime
0.0,49.31,24.52,86.111.136.240,66.0,15.92,,2024-05-09 19:35:28
0.0,49.27,24.51,86.111.136.240,66.0,15.92,,2024-05-09 19:32:53
34.0,49.03,24.42,86.111.136.240,65.0,15.95,,2024-05-09 19:19:27
20.0,48.99,24.55,86.111.136.240,65.0,16.35,,2024-05-09 19:17:06
0.0,48.33,24.8,86.111.136.240,65.0,16.35,,2024-05-09 19:15:05
0.0,47.9,25.02,86.111.136.240,65.0,16.35,,2024-05-09 19:13:04
0.0,47.34,25.48,86.111.136.240,65.0,16.35,,2024-05-09 19:11:03
16.0,53.46,25.45,86.111.136.240,65.0,16.35,,2024-05-09 19:09:59
0.0,49.22,24.35,86.111.136.240,65.0,16.26,,2024-05-09 19:07:42
19.0,49.3,24.42,86.111.136.240,65.0,16.27,,2024-05-09 19:06:08
0.0,49.25,24.38,86.111.136.240,65.0,16.27,,2024-05-09 19:04:07
0.0,49.48,24.42,86.111.136.240,65.0,16.27,,2024-05-09 19:02:27
0.0,49.25,24.34,86.111.136.240,65.0,16.27,,2024-05-09 19:01:03
183.0,46.82,23.64,86.111.136.240,79.0,9.69,,2024-05-09 01:16:13
0.0,46.58,23.66,86.111.136.240,79.0,9.69,,2024-05-09 01:14:50
138.0,47.27,26.2,86.111.136.240,76.0,10.2,,2024-05-09 00:38:05
169.0,45.41,25.51,86.111.136.240,76.0,10.2,,2024-05-09 00:36:02
0.0,47.5,24.96,86.111.136.240,76.0,10.2,,2024-05-09 00:34:01
0.0,43.26,25.21,86.111.136.240,76.0,10.2,,2024-05-09 00:32:21
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:41:14
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:38:10
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:38:01
12.0,52.16,24.63,86.111.136.240,83.0,14.84,,2024-05-05 23:02:36
0.0,51.96,24.66,86.111.136.240,83.0,14.84,,2024-05-05 22:57:28
4.0,52.15,24.56,86.111.136.240,82.0,14.85,,2024-05-05 22:45:38
0.0,52.37,24.52,86.111.136.240,82.0,14.79,,2024-05-05 22:40:36
5.0,52.36,24.45,86.111.136.240,82.0,14.85,,2024-05-05 22:36:54
1.0,52.18,24.42,86.111.136.240,82.0,14.79,,2024-05-05 22:31:56
2.0,52.04,24.63,86.111.136.240,83.0,14.67,,2024-05-05 22:18:57
1.0,52.02,24.7,86.111.136.240,83.0,14.66,,2024-05-05 22:09:09
5.0,52.18,24.67,86.111.136.240,83.0,14.66,,2024-05-05 22:02:10
1.0,52.5,24.62,86.111.136.240,83.0,15.13,,2024-05-05 21:35:52
3.0,52.41,24.65,86.111.136.240,83.0,15.1,,2024-05-05 21:32:48
0.0,52.38,24.53,86.111.136.240,82.0,15.32,,2024-05-05 21:24:50
0.0,52.37,24.7,86.111.136.240,82.0,15.32,,2024-05-05 21:21:03
0.0,52.4,24.7,86.111.136.240,82.0,15.3,,2024-05-05 21:16:00
0.0,52.49,24.67,86.111.136.240,79.0,15.5,,2024-05-05 21:06:45
0.0,43.93,24.15,86.111.136.240,79.0,13.0,,2024-05-04 23:52:07
0.0,43.97,24.22,86.111.136.240,93.0,12.75,,2024-05-04 23:48:41
29.0,43.78,24.24,86.111.136.240,93.0,12.75,,2024-05-04 23:45:51
21.0,43.41,24.34,86.111.136.240,93.0,13.15,,2024-05-04 23:40:23
0.0,43.16,24.49,86.111.136.240,93.0,13.15,,2024-05-04 23:35:05
0.0,43.4,24.76,86.111.136.240,74.0,13.51,,2024-05-04 23:32:42
102.0,42.95,25.14,86.111.136.240,74.0,13.44,,2024-05-04 23:28:06
23.0,43.62,25.2,86.111.136.240,73.0,13.54,,2024-05-04 23:22:46
0.0,43.99,24.48,86.111.136.240,73.0,13.54,,2024-05-04 23:17:40
0.0,44.12,24.07,86.111.136.240,73.0,13.51,,2024-05-04 23:01:28
0.0,43.79,24.24,86.111.136.240,69.0,14.1,,2024-05-04 21:19:45
0.0,44.69,24.62,86.111.136.240,65.0,15.2,,2024-05-04 20:01:21
0.0,44.75,24.7,86.111.136.240,65.0,15.2,,2024-05-04 19:57:10
2.0,44.91,24.75,86.111.136.240,65.0,15.2,,2024-05-04 19:52:04
6.0,43.83,24.97,86.111.136.240,66.0,15.37,,2024-05-04 19:32:26
,44.0,25.0,86.111.136.240,64.0,16.02,,2024-05-04 19:29:19
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 17:18:00
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 17:08:36
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 17:08:04
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 17:07:35
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 17:07:06
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:54:31
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:54:05
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:51:52
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:51:06
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:50:50
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:44:49
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:43:49
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:39:05
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:37:29
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:33:22
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:32:20
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 16:30:58
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:47:27
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:45:03
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:44:50
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:44:36
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:43:49
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:41:15
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:38:43
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 15:37:55
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 14:30:32
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 11:08:59
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 11:08:37
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-02 11:08:02
,57.0,23.0,130.223.162.22,79.0,13.19,,2024-05-02 08:31:35
,61.0,23.0,130.223.162.22,79.0,13.48,,2024-05-02 08:30:11
,64.0,23.0,130.223.162.22,79.0,13.48,,2024-05-02 08:28:46
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-01 17:24:01
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-01 17:23:38
,39.0,28.0,86.111.136.24,28.0,21.9,,2024-04-30 19:29:54
